SMILES,tpsa,tpsa_bounds,logp,logp_bounds,molweight,molweight_bounds,all_bounds
CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c3ccc(C(=O)N4CCC4C(=O)O)cc23)CC1,133.8,False,4.3562,False,610.1765168,False,False
O=C(O)c1ccc2nc(C(=O)NC3CCN(C4CC4)CC3)n(Cc3cc(-c4ccc(Cl)s4)no3)c2c1,113.49,False,4.5093,False,525.1237529,False,False
Nc1ncnc2cc(CN3C(=O)CN(S(=O)(=O)c4cc5ccc(Cl)cc5s4)CC3C(=O)OCCN3CCCC3)ccc12,139.03,False,3.1208,True,628.1329377,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)cnc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,113.49,False,4.7553,False,527.139403,False,False
COCCOc1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,97.72,False,3.9562,True,527.2299322,False,False
CC(C)N1CCC(NS(=O)(=O)CCNC(=O)c2ccc(Br)o2)CC1,91.65,False,1.5641,False,421.0670893,False,False
CC(C)N1CCC(NC(=O)c2nc3cccnc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,89.08,False,4.4521,False,484.1448227,False,False
CC(C)NC1CCN(C(=O)c2cc3ccnc(OCC4CC4)c3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,85.42,False,5.8459,False,553.1914386,False,False
CC(C)N1CCC(N(C)S(=O)(=O)CCNC(=O)c2ccc(Cl)s2)CC1,69.72,False,2.2657,True,407.1104114,True,False
CCOC(=O)COc1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,98.83,False,5.604,False,584.1860188,False,False
NC(=O)N1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,110.49,False,3.291,True,470.0927871,False,False
CC(C)N1CCC(NC(=O)c2nc3ccnc(OCCO)c3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,118.54,False,3.8232,True,544.1659521,False,False
CC(C)N1CCC(NC(=O)c2nc3ccc(C(=O)O)cc3n2Cc2cnc(-c3ccc(Cl)s3)s2)CC1,100.35,False,5.2238,False,543.1165594,False,False
CC(C)N1CCC(NC(=O)c2cc(CO)nn2CC(=O)Nc2ccc(Cl)cn2)CC1,112.38,False,1.6651,False,434.1833164,False,False
CC(C)N1CCC(CNC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,66.37,False,4.7836,False,466.2135539,False,False
COC(=O)OC(C)OC(=O)c1cccc2c1cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,125.13,False,5.9479,False,628.1758481,False,False
Nc1nccc2ccc(C3(O)CCN(C(=O)c4ccc(-c5ccc(=O)[nH]c5)cc4)CC3)cc12,112.31,False,3.2961,True,440.1848406,False,False
O=C(Cn1nc(C(=O)Nc2ccc(N3CCCC3=O)cc2)c2ccccc21)Nc1ccc(Cl)cn1,109.22,False,4.1025,False,488.1363662,False,False
CC(C)N1CCC(N2C(=O)CC(CNC(=O)c3ccc(Cl)s3)S2(=O)=O)CC1,86.79,False,1.9348,False,433.0896759,False,False
CC(OC(=O)OC1CCCCC1)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,138.02,False,7.0458,False,697.2336973,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CC(O)C4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,103.84,False,4.4788,False,581.1863532,False,False
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CCCOCC4)scc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,121.69,False,3.25,True,587.2081512,False,False
N=C(N)c1ccc(N)c(CN2CCC(NS(=O)(=O)c3cc4ncccc4s3)C2=O)c1,155.26,False,1.24197,False,444.1038305,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CCCOCC4)ccc3n2CC(=O)Nc2ccc(Cl)nc2)CC1,108.8,False,3.7935,True,580.2564813,False,False
CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,132.69,False,2.1427,True,553.2204302,False,False
COC(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)nn1Cc1cc(-c2ccc(Cl)s2)on1,102.49,False,3.6905,True,491.139403,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(OCCO)ccc3n2CC(=O)Nc2ccc(Br)cn2)CC1,108.72,False,3.4112,True,557.1637666,False,False
CC(C)N1CCC(NS(=O)(=O)CCNC(=O)c2ccc(Br)s2)CC1,78.51,False,2.0326,True,437.0442457,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCN4CCCC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,109.91,False,5.4413,False,637.2125679,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4CCOC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,98.83,False,5.8554,False,610.2016689,False,False
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)c1nn(Cc2cc(-c3ccc(Cl)s3)on2)c2ccccc12,102.49,False,5.1792,False,547.1081029,False,False
CC(C)OCCNCC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC(=O)N1Cc1ccc2c(N)ncnc2c1,130.75,False,3.4964,True,602.1536732,False,False
CC(C)N1CCC(NC(=O)c2cc3c(C(=O)OCOC(=O)C(C)(C)C)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,115.9,False,6.3657,False,640.2122336,False,False
